2026-05-12 16:59:05,847 - DEBUG - CACHEDIR=C:\Users\ayala\AppData\Local\Temp\tmpi2m9hfl3
2026-05-12 16:59:05,847 - DEBUG - font search path [WindowsPath('C:/Users/ayala/Documents Thesis/GUI_v5/app/dist/GUI_v5_Base_de_Conocimiento/_internal/matplotlib/mpl-data/fonts/ttf'), WindowsPath('C:/Users/ayala/Documents Thesis/GUI_v5/app/dist/GUI_v5_Base_de_Conocimiento/_internal/matplotlib/mpl-data/fonts/afm'), WindowsPath('C:/Users/ayala/Documents Thesis/GUI_v5/app/dist/GUI_v5_Base_de_Conocimiento/_internal/matplotlib/mpl-data/fonts/pdfcorefonts')]
2026-05-12 16:59:08,055 - INFO - generated new fontManager
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 7 to 5
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 5 to 7
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 7 to 5
2026-05-12 16:59:22,884 - DEBUG - Creating converter from 5 to 7
2026-05-12 16:59:26,943 - INFO - Live monitoring Qss/scss/defaultStyle.scss file for changes
2026-05-12 16:59:26,943 - ERROR - Error: Qss/scss/defaultStyle.scss file not found
2026-05-12 16:59:27,674 - DEBUG - Loaded backend qtagg version 6.10.0.
2026-05-12 16:59:27,903 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\ONYX.TTF', name='Onyx', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\corbell.ttf', name='Corbel', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\FrankRuehlCLM-MediumOblique.otf', name='Frank Ruehl CLM', style='oblique', variant='normal', weight=500, stretch='normal', size='scalable')) = 11.145
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\Gabriola.ttf', name='Gabriola', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\calibril.ttf', name='Calibri', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Program Files\\Siemens\\Solid Edge 2025\\Program\\Datalogics\\Resource\\Font\\AdobeArabic-BoldItalic.otf', name='Adobe Arabic', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\IMPRISHA.TTF', name='Imprint MT Shadow', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LiberationSansNarrow-BoldItalic.ttf', name='Liberation Sans Narrow', style='italic', variant='normal', weight=700, stretch='condensed', size='scalable')) = 11.535
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\segoeuib.ttf', name='Segoe UI', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-05-12 16:59:27,904 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\dutchbi.ttf', name='Dutch801 Rm BT', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
